ds,y
21-41-15,64874.0
21-42-15,64907.5
21-43-15,64962.0
21-44-15,64958.58
21-45-15,64903.47
21-46-16,64869.82
21-47-16,64901.99
21-48-16,64885.01
21-49-16,64896.0
21-50-16,64909.46
21-51-16,64900.0
21-52-16,64912.97
21-53-17,64889.74
21-54-17,64877.48
21-55-17,64885.98
21-56-17,64900.0
21-57-17,64925.57
21-58-17,64906.0
21-59-17,64871.99
22-00-17,64853.04
22-01-17,64837.16
22-02-17,64828.0
22-03-17,64790.88
22-04-18,64767.99
22-05-18,64768.95
22-06-18,64800.49
22-07-18,64856.2
22-08-18,64829.67
22-09-18,64830.0
22-10-18,64832.96
22-11-18,64806.48
22-12-18,64793.83
22-13-19,64819.99
22-14-19,64841.87
22-15-19,64820.85
22-16-19,64846.0
22-17-19,64869.99
22-18-19,64884.9
22-19-19,64844.01
22-20-19,64821.0
22-21-19,64828.5
22-22-20,64836.12
22-23-20,64794.0
22-24-20,64800.94
22-25-20,64784.0
22-26-20,64751.56
